Image,Proper Bin,Incorrect Message
brown paper bag.png,compost,"If there is no food in it, put it in the paper bin! Otherwise, compost is your best bet. "
bubble wrap.png,paper,"This one is tricky. Clear plastics like cling and bubble wrap are sorted with the paper recycling at Stanford, so be sure to remember this!"
chopstick holster.png,paper,"These will generally be uncontaminated, so put them in the paper bin!"
chopsticks.png,compost,"These are food soiled wood, so compost them!"
clean plastic lid.png,plastic,This can only be recycled if it is clean! Make sure to check the type of plastic inside the symbol. 
cling wrap.png,paper,"This one is tricky. Clear plastics like cling and bubble wrap are sorted with the paper recycling at Stanford, so be sure to remember this!"
compostable fork.png,compost,"Don't throw these into the plastic bin! Only compost them, otherwise you may contaminate the plastic recycling. "
compostable plastic lid.jpg,compost,Remember to check for the compostable symbol. Do not recycle compostable plastics as they are considered to be contaminants of real plastic!
compostable straw wrapper.png,compost,This can also be thrown in the paper bin if the straw wrapper is clean. 
food soiled paper box.png,compost,"These boxes can be composted, it just takes longer than usual. However, they cannot be recycled as they are contaminated with food, so always compost them!"
food soiled paper plate.png,compost,"These boxes can be composted, it just takes longer than usual. However, they cannot be recycled as they are contaminated with food, so always compost them!"
food soiled takeout box.png,compost,"Anything with leftover food waste (paper or compostable plastic) must be composted! Otherwise, contamination can ruin an entire bin. "
fortune cookie.png,compost,Food is compost!
panda napkin.png,compost,"If this is contaminated with food, only compost it!"
paper donut box.png,compost,"These boxes can be composted, it just takes longer than usual. However, they cannot be recycled as they are contaminated with food, so always compost them!"
pizza box.png,compost,"These boxes can be composted, it just takes longer than usual. However, they cannot be recycled as they are contaminated with food, so always compost them!"
salt and pepper packs.png,compost,"You could also throw this in the paper recycling if the packs are completely empty! If they have leftovers, compost it. "
sauce packets.png,landfill,These materials are not only contaminated but non-recyclable. They can only go to the landfill.
stack of paper.png,paper,The paper bin is your pset cememtery. 
starbucks coffee lid.png,compost,"Some Starbucks locations have compostable lids while others do not. Be sure to check for the compostable symbol on the lid to be sure! Otherwise, landfill it. "
starbucks coffee sleeve.png,paper,"This is corrugated cardboard, so if you have access to that bin, use it! Otherwise, compost it or put it in the paper recycling. "
starbucks cup.png,plastic,"Remember that the cup must be clean/washed out if you place it in the plastic bin! Otherwise, it must be landfilled. "
starbucks pastry bag.png,compost,Food soiled paper is compost!
starbucks straw.png,landfill,"Straws can't be recycled. Try to remove straws from your everyday life, especially if you care about the turtles!"
straw wrapper paper.png,paper,"These will generally be uncontaminated, so put them in the paper bin!"
subway straw.png,landfill,"Straws can't be recycled. Try to remove straws from your everyday life, especially if you care about the turtles!"
used waxpaper takeout box.png,landfill,"Wax paper cannot be recycled because they are made of paper and plastic. Try to go without them, but if you use one, landfill it. "